SituationID,Situation,SituationDescription,SituationQuotes
2131,"The Martian (Satellite surveillance)","Mindy Park, the communicator at NASA, is using the satellite surveillance to spot and continue to surveil Matt Watney throughout his stay on Mars.",NA
2146,"The Martian (Surveillance camera)","A view from a surveillance cameras placed in different rooms at the space station. Showing different information, such as: Number of ""mission day"", ""time"", ""pressure"", ""oxygen"", ""temperature"", ""location"".  ",NA
2214,"The Matrix (The Matrix)","The Matrix is a Virtual Reality program almost all humans are trapped in where they are unable to tell reality from virtual reality. They are being monitored, manipulated and in some cases turned into agents for The Matrix. 
In this movie we are seeing The Matrix from the inside, as well as outside and seeing ""through"" The Matrix onto other characters. 
When Neo and Morpheus are fighting, the other crew are watching them fight through a screen into The Matrix. ","The Matrix is everywhere. It is all around us. It is the world that has been pulled over your eyes to blind you from the truth. A prison for your mind."
2574,"The Midnight Sky (Crew makes plan)","The crew of the spaceship must decide whether to travel to earth (their original plan) or return to the moon of Jupiter that may be humanities future. This planning scene takes place in/around a hologram projection of space: planets, moons, asteroids etc.",NA
2573,"The Midnight Sky (Mitchell plays holo-game)","Introducing crew member Mitchell to the film, we see him running in place and jumping controlling a monkey-looking video game avatar projected as a hologram.",NA
2575,"The Midnight Sky (Mitchell relives breakfast with family)","Mitchell has been in space for ~2 years. While eating breakfast Mitchell is a surrounded by a hologram projecting his family having breakfast together in the earth kitchen. He smiles and laughs as the recording plays itself out. ",NA
3034,"The Mitchells vs. The Machines (Dog breaks image recognition)","Having previously discovered that two robots shut down after failing to identify the strange-looking family dog (00:52:30), Katie straps the dog to the front of the car and drives straight to where the phone controlling the whole machine rebellion is, as every robot that sees the dog shuts down in confusion at the impossible-to-classify dog (01:18;10). Katie's dad sees what she is doing, and manages to escape from the cell the machines have put him in and to broadcast Katie's videos of the dog on all screens, destroying most of the robots (01:27:23) - although some of the most vicious and angular robots are immune, asserting that ""We can tell the difference between dog and pig and bread"" (01:29:20). ","Is that a dog? Pig? Dog? Pig?
Dog? Dog? Dog? Loaf of bread.
System error."
3158,"The Most Beautiful Women (replacing faces)","Faces of Asian American woman are imposed on Hiram Powers neoclassical busts and sculptures in marble replacing faces of Caucasian women who have been depicted as the western cultural ideal of beauty. With the artwork the artist questions norms of beauty:
""Through deepfake technology, I have been able to create video that imposes my own visage as an Asian American woman onto these sculptures representing the western cultural ideal."" (1)
(1) http://www.melissahuang.com/ (Video work > The Most Beautiful Women)",NA
1589,"The Murderbot Diaries (Murderbot and ART hack security cameras)","Murderbot and an AI hacks the security camera feeds and removes footage of events.","Maro threw a look around and said, “We shouldn’t talk here, maybe. Is there someplace else we could go?” It had been stressful enough getting here, I didn’t want to have to go anywhere else right now. I did a quick scan for drones, then initiated a glitch in the connection between the restaurant and transit ring security. I caught the cameras and showed ART what I wanted it to do. It took over and edited me out of the system’s recording and cut the camera watching the table out of the system. I unglitched the connection to the ring’s main security, which wouldn’t notice the missing camera feed for the short time we would be here. I said, “It’s all right. We’re not being recorded.” They stared at me. Rami said, “But there’s security—Did you do something?” “I’m a security consultant,” I repeated.
Martha Wells, Artificial Condition: The Murderbot Diaries, pg. 38, loc. 572-579. Kindle Edition"
1592,"The Murderbot Diaries (Murderbot shares camera feed)",NA,"I gave Amena a view of what I was doing via my main video input, so she would know I was still there and I didn’t have to think what to say to her. (Also, if there was an engineering aux station and it showed we were trapped forever, then she could see it for herself and I wouldn’t have to tell her.) As I went down the corridor, Amena said, Why is the vid so jumpy? Is it from a drone? It’s from my eyes. Oh. I’d left the task group of eight drones with her, and I could see her via their cameras. She sat on the platform next to Eletra, elbow propped on her knee. This is creepy, she said.
Martha Wells, Network Effect (The Murderbot Diaries), pg. 101, loc. 1545-1550. Kindle Edition"
1588,"The Murderbot Diaries (Murderbot watches through security cameras)","Murderbot is impersonating a human but uncomfortable with interacting with humans, finds it easier to watch the situation through security cameras.","I had practiced this part with ART on approach to the ring, recording myself so both of us could critique it. I told myself I could do this. I put on my best neutral expression, the one I used when the extra download activity had been detected and the deployment center’s supervisor was blaming the human techs for it. I walked up to the table and said, “Hello.” All three of them flinched. “Uh, hello,” the tercera said, recovering first. I picked up the feed from the security camera so I could watch myself and make sure my facial expressions were under control. And it was easier to talk to the humans while watching them through the cameras. I was well aware it was a completely false sensation of distance from the situation, but I needed it. I said, “We arranged to meet. I’m Eden, the security consultant.” Right, so, it was the name of one of the characters in Sanctuary Moon. You probably aren’t surprised by that.
Martha Wells, Artificial Condition: The Murderbot Diaries, pg. 36, loc. 551-558. Kindle Edition"
